Region,Year,Units,Water_Categ,Ammoniacal nitrogen,E.coli,Nitrate-nitrite nitrogen
Bay of Plenty,2011,cfu/100ml,River Quality,NA,612.5,NA
Bay of Plenty,2011,g/m3,Groundwater Quality,NA,NA,3.62
Bay of Plenty,2011,g/m3,River Quality,0.2,NA,3.89
Bay of Plenty,2012,cfu/100ml,River Quality,NA,1167,NA
Bay of Plenty,2012,g/m3,Groundwater Quality,NA,NA,3.15
Bay of Plenty,2012,g/m3,River Quality,0.38,NA,6.25
Bay of Plenty,2013,cfu/100ml,River Quality,NA,1560.68,NA
Bay of Plenty,2013,g/m3,Groundwater Quality,NA,NA,3.71
Bay of Plenty,2013,g/m3,River Quality,0.44,NA,8.64
Bay of Plenty,2014,cfu/100ml,River Quality,NA,1410.75,NA
Bay of Plenty,2014,g/m3,Groundwater Quality,NA,NA,2.63
Bay of Plenty,2014,g/m3,River Quality,0.48,NA,8.89
Bay of Plenty,2015,cfu/100ml,Groundwater Quality,NA,1,NA
Bay of Plenty,2015,cfu/100ml,River Quality,NA,1914.85,NA
Bay of Plenty,2015,g/m3,Groundwater Quality,NA,NA,33.22
Bay of Plenty,2015,g/m3,River Quality,0.53,NA,10.63
Bay of Plenty,2016,cfu/100ml,Groundwater Quality,NA,24.7,NA
Bay of Plenty,2016,cfu/100ml,River Quality,NA,2244.85,NA
Bay of Plenty,2016,g/m3,Groundwater Quality,NA,NA,52.45
Bay of Plenty,2016,g/m3,River Quality,0.57,NA,11.65
Bay of Plenty,2017,cfu/100ml,Groundwater Quality,NA,38.8,NA
Bay of Plenty,2017,cfu/100ml,River Quality,NA,2231.18,NA
Bay of Plenty,2017,g/m3,Groundwater Quality,NA,NA,60.28
Bay of Plenty,2017,g/m3,River Quality,0.56,NA,11.83
Bay of Plenty,2018,cfu/100ml,Groundwater Quality,NA,16.1,NA
Bay of Plenty,2018,cfu/100ml,River Quality,NA,1797.33,NA
Bay of Plenty,2018,g/m3,Groundwater Quality,NA,NA,61.36
Bay of Plenty,2018,g/m3,River Quality,0.46,NA,9.78
Bay of Plenty,2019,cfu/100ml,Groundwater Quality,NA,55.6,NA
Bay of Plenty,2019,cfu/100ml,River Quality,NA,2314.58,NA
Bay of Plenty,2019,g/m3,Groundwater Quality,NA,NA,55.34
Bay of Plenty,2019,g/m3,River Quality,0.49,NA,11.59
Canterbury,2002,g/m3,River Quality,0.15,NA,13.34
Canterbury,2003,g/m3,River Quality,0.21,NA,20.53
Canterbury,2004,cfu/100ml,Groundwater Quality,NA,1055,NA
Canterbury,2004,g/m3,Groundwater Quality,NA,NA,2265.2
Canterbury,2004,g/m3,River Quality,0.24,NA,20.64
Canterbury,2005,cfu/100ml,Groundwater Quality,NA,6409,NA
Canterbury,2005,g/m3,Groundwater Quality,NA,NA,2175.5
Canterbury,2005,g/m3,River Quality,0.24,NA,20.35
Canterbury,2006,cfu/100ml,Groundwater Quality,NA,5816,NA
Canterbury,2006,g/m3,Groundwater Quality,NA,NA,3127.77
Canterbury,2006,g/m3,River Quality,0.63,NA,26.36
Canterbury,2007,cfu/100ml,Groundwater Quality,NA,3131,NA
Canterbury,2007,g/m3,Groundwater Quality,NA,NA,2712.29
Canterbury,2007,g/m3,River Quality,0.66,NA,26.68
Canterbury,2008,cfu/100ml,Groundwater Quality,NA,7234,NA
Canterbury,2008,g/m3,Groundwater Quality,NA,NA,3017.75
Canterbury,2008,g/m3,River Quality,0.64,NA,27.35
Canterbury,2009,cfu/100ml,Groundwater Quality,NA,5315,NA
Canterbury,2009,cfu/100ml,River Quality,NA,653,NA
Canterbury,2009,g/m3,Groundwater Quality,NA,NA,3196.61
Canterbury,2009,g/m3,River Quality,0.6,NA,28
Canterbury,2010,cfu/100ml,Groundwater Quality,NA,1738,NA
Canterbury,2010,cfu/100ml,River Quality,NA,1386.5,NA
Canterbury,2010,g/m3,Groundwater Quality,NA,NA,3443.3
Canterbury,2010,g/m3,River Quality,0.58,NA,28.1
Canterbury,2011,cfu/100ml,Groundwater Quality,NA,6368,NA
Canterbury,2011,cfu/100ml,River Quality,NA,6088.5,NA
Canterbury,2011,g/m3,Groundwater Quality,NA,NA,3130.48
Canterbury,2011,g/m3,River Quality,0.91,NA,69.04
Canterbury,2012,cfu/100ml,Groundwater Quality,NA,1452,NA
Canterbury,2012,cfu/100ml,River Quality,NA,8349,NA
Canterbury,2012,g/m3,Groundwater Quality,NA,NA,3552.89
Canterbury,2012,g/m3,River Quality,0.93,NA,81.35
Canterbury,2013,cfu/100ml,Groundwater Quality,NA,4692,NA
Canterbury,2013,cfu/100ml,River Quality,NA,15645,NA
Canterbury,2013,g/m3,Groundwater Quality,NA,NA,3614.54
Canterbury,2013,g/m3,River Quality,1.29,NA,126.56
Canterbury,2014,cfu/100ml,Groundwater Quality,NA,2710,NA
Canterbury,2014,cfu/100ml,River Quality,NA,18490.05,NA
Canterbury,2014,g/m3,Groundwater Quality,NA,NA,3791.87
Canterbury,2014,g/m3,River Quality,1.29,NA,138.99
Canterbury,2015,cfu/100ml,Groundwater Quality,NA,3910,NA
Canterbury,2015,cfu/100ml,River Quality,NA,19742.3,NA
Canterbury,2015,g/m3,Groundwater Quality,NA,NA,3245.4
Canterbury,2015,g/m3,River Quality,1.43,NA,147.04
Canterbury,2016,cfu/100ml,Groundwater Quality,NA,3066,NA
Canterbury,2016,cfu/100ml,River Quality,NA,34805.1,NA
Canterbury,2016,g/m3,Groundwater Quality,NA,NA,3396.48
Canterbury,2016,g/m3,River Quality,2.67,NA,172.12
Canterbury,2017,cfu/100ml,Groundwater Quality,NA,9568,NA
Canterbury,2017,cfu/100ml,River Quality,NA,41959.35,NA
Canterbury,2017,g/m3,Groundwater Quality,NA,NA,3765.01
Canterbury,2017,g/m3,River Quality,3.74,NA,199.15
Canterbury,2018,cfu/100ml,Groundwater Quality,NA,3610,NA
Canterbury,2018,cfu/100ml,River Quality,NA,42266.15,NA
Canterbury,2018,g/m3,Groundwater Quality,NA,NA,3749.81
Canterbury,2018,g/m3,River Quality,3.55,NA,202.49
Canterbury,2019,cfu/100ml,Groundwater Quality,NA,9845,NA
Canterbury,2019,cfu/100ml,River Quality,NA,42819.15,NA
Canterbury,2019,g/m3,Groundwater Quality,NA,NA,4159.47
Canterbury,2019,g/m3,River Quality,3.45,NA,205.82
Gisborne,2002,cfu/100ml,River Quality,NA,4601,NA
Gisborne,2002,g/m3,River Quality,NA,NA,0.3
Gisborne,2003,cfu/100ml,River Quality,NA,4739.5,NA
Gisborne,2003,g/m3,River Quality,NA,NA,0.36
Gisborne,2004,cfu/100ml,Groundwater Quality,NA,1092,NA
Gisborne,2004,cfu/100ml,River Quality,NA,4947.5,NA
Gisborne,2004,g/m3,Groundwater Quality,NA,NA,7.92
Gisborne,2004,g/m3,River Quality,0.02,NA,0.38
Gisborne,2005,cfu/100ml,Groundwater Quality,NA,1,NA
Gisborne,2005,cfu/100ml,River Quality,NA,5072,NA
Gisborne,2005,g/m3,Groundwater Quality,NA,NA,10.94
Gisborne,2005,g/m3,River Quality,0.02,NA,0.37
Gisborne,2006,cfu/100ml,River Quality,NA,5208,NA
Gisborne,2006,g/m3,Groundwater Quality,NA,NA,6.87
Gisborne,2006,g/m3,River Quality,0.02,NA,0.38
Gisborne,2007,cfu/100ml,River Quality,NA,5239.5,NA
Gisborne,2007,g/m3,Groundwater Quality,NA,NA,11.92
Gisborne,2007,g/m3,River Quality,0.02,NA,0.38
Gisborne,2008,cfu/100ml,River Quality,NA,5310.5,NA
Gisborne,2008,g/m3,Groundwater Quality,NA,NA,10.05
Gisborne,2008,g/m3,River Quality,0.02,NA,0.39
Gisborne,2009,cfu/100ml,River Quality,NA,5405,NA
Gisborne,2009,g/m3,Groundwater Quality,NA,NA,15.48
Gisborne,2009,g/m3,River Quality,0.02,NA,0.39
Gisborne,2010,cfu/100ml,River Quality,NA,5319,NA
Gisborne,2010,g/m3,Groundwater Quality,NA,NA,27.06
Gisborne,2010,g/m3,River Quality,0.02,NA,0.4
Gisborne,2011,cfu/100ml,Groundwater Quality,NA,228,NA
Gisborne,2011,cfu/100ml,River Quality,NA,5221,NA
Gisborne,2011,g/m3,Groundwater Quality,NA,NA,20.78
Gisborne,2011,g/m3,River Quality,0.02,NA,0.36
Gisborne,2012,cfu/100ml,Groundwater Quality,NA,2833,NA
Gisborne,2012,cfu/100ml,River Quality,NA,6434.5,NA
Gisborne,2012,g/m3,Groundwater Quality,NA,NA,12.89
Gisborne,2012,g/m3,River Quality,0.02,NA,2.67
Gisborne,2013,cfu/100ml,Groundwater Quality,NA,1097,NA
Gisborne,2013,cfu/100ml,River Quality,NA,8175.5,NA
Gisborne,2013,g/m3,Groundwater Quality,NA,NA,19.32
Gisborne,2013,g/m3,River Quality,0.59,NA,2.52
Gisborne,2014,cfu/100ml,Groundwater Quality,NA,388,NA
Gisborne,2014,cfu/100ml,River Quality,NA,8080.6,NA
Gisborne,2014,g/m3,Groundwater Quality,NA,NA,32.42
Gisborne,2014,g/m3,River Quality,0.59,NA,2.51
Gisborne,2015,cfu/100ml,Groundwater Quality,NA,425.1,NA
Gisborne,2015,cfu/100ml,River Quality,NA,7561.5,NA
Gisborne,2015,g/m3,Groundwater Quality,NA,NA,5.72
Gisborne,2015,g/m3,River Quality,0.64,NA,2.31
Gisborne,2016,cfu/100ml,Groundwater Quality,NA,264.6,NA
Gisborne,2016,cfu/100ml,River Quality,NA,7199.1,NA
Gisborne,2016,g/m3,Groundwater Quality,NA,NA,34.21
Gisborne,2016,g/m3,River Quality,0.67,NA,2.17
Gisborne,2017,cfu/100ml,Groundwater Quality,NA,3340.3,NA
Gisborne,2017,cfu/100ml,River Quality,NA,7680.15,NA
Gisborne,2017,g/m3,Groundwater Quality,NA,NA,59.53
Gisborne,2017,g/m3,River Quality,0.67,NA,2.85
Gisborne,2018,cfu/100ml,Groundwater Quality,NA,216.6,NA
Gisborne,2018,cfu/100ml,River Quality,NA,7799.5,NA
Gisborne,2018,g/m3,Groundwater Quality,NA,NA,25.74
Gisborne,2018,g/m3,River Quality,0.66,NA,3.01
Gisborne,2019,cfu/100ml,Groundwater Quality,NA,1268.9,NA
Gisborne,2019,cfu/100ml,River Quality,NA,7534.65,NA
Gisborne,2019,g/m3,Groundwater Quality,NA,NA,34.61
Gisborne,2019,g/m3,River Quality,0.64,NA,2.95
Hawke's Bay,2002,g/m3,River Quality,0.08,NA,1.55
Hawke's Bay,2003,g/m3,River Quality,0.14,NA,1.99
Hawke's Bay,2004,g/m3,Groundwater Quality,NA,NA,0.05
Hawke's Bay,2004,g/m3,River Quality,0.44,NA,5.58
Hawke's Bay,2005,cfu/100ml,Groundwater Quality,NA,168,NA
Hawke's Bay,2005,g/m3,Groundwater Quality,NA,NA,64.15
Hawke's Bay,2005,g/m3,River Quality,0.41,NA,7.64
Hawke's Bay,2006,cfu/100ml,Groundwater Quality,NA,126,NA
Hawke's Bay,2006,g/m3,Groundwater Quality,NA,NA,92.74
Hawke's Bay,2006,g/m3,River Quality,0.3,NA,7.68
Hawke's Bay,2007,cfu/100ml,Groundwater Quality,NA,86,NA
Hawke's Bay,2007,g/m3,Groundwater Quality,NA,NA,80
Hawke's Bay,2007,g/m3,River Quality,0.28,NA,8.52
Hawke's Bay,2008,cfu/100ml,Groundwater Quality,NA,105,NA
Hawke's Bay,2008,g/m3,Groundwater Quality,NA,NA,60.51
Hawke's Bay,2008,g/m3,River Quality,0.3,NA,9.45
Hawke's Bay,2009,cfu/100ml,Groundwater Quality,NA,80,NA
Hawke's Bay,2009,g/m3,Groundwater Quality,NA,NA,81.83
Hawke's Bay,2009,g/m3,River Quality,0.3,NA,9.56
Hawke's Bay,2010,cfu/100ml,Groundwater Quality,NA,97,NA
Hawke's Bay,2010,g/m3,Groundwater Quality,NA,NA,116.32
Hawke's Bay,2010,g/m3,River Quality,0.32,NA,12.93
Hawke's Bay,2011,cfu/100ml,Groundwater Quality,NA,92,NA
Hawke's Bay,2011,g/m3,Groundwater Quality,NA,NA,103.57
Hawke's Bay,2011,g/m3,River Quality,0.28,NA,16.32
Hawke's Bay,2012,cfu/100ml,Groundwater Quality,NA,96,NA
Hawke's Bay,2012,cfu/100ml,River Quality,NA,167,NA
Hawke's Bay,2012,g/m3,Groundwater Quality,NA,NA,109.61
Hawke's Bay,2012,g/m3,River Quality,0.25,NA,16.77
Hawke's Bay,2013,cfu/100ml,Groundwater Quality,NA,51,NA
Hawke's Bay,2013,cfu/100ml,River Quality,NA,1922.65,NA
Hawke's Bay,2013,g/m3,Groundwater Quality,NA,NA,132.82
Hawke's Bay,2013,g/m3,River Quality,0.48,NA,24.05
Hawke's Bay,2014,cfu/100ml,Groundwater Quality,NA,159,NA
Hawke's Bay,2014,cfu/100ml,River Quality,NA,2488.25,NA
Hawke's Bay,2014,g/m3,Groundwater Quality,NA,NA,379.86
Hawke's Bay,2014,g/m3,River Quality,0.35,NA,21.65
Hawke's Bay,2015,cfu/100ml,Groundwater Quality,NA,395,NA
Hawke's Bay,2015,cfu/100ml,River Quality,NA,3374.8,NA
Hawke's Bay,2015,g/m3,Groundwater Quality,NA,NA,424.92
Hawke's Bay,2015,g/m3,River Quality,0.36,NA,21.01
Hawke's Bay,2016,cfu/100ml,Groundwater Quality,NA,1980,NA
Hawke's Bay,2016,cfu/100ml,River Quality,NA,3887.15,NA
Hawke's Bay,2016,g/m3,Groundwater Quality,NA,NA,395.16
Hawke's Bay,2016,g/m3,River Quality,0.35,NA,22.08
Hawke's Bay,2017,cfu/100ml,Groundwater Quality,NA,320,NA
Hawke's Bay,2017,cfu/100ml,River Quality,NA,4260.35,NA
Hawke's Bay,2017,g/m3,Groundwater Quality,NA,NA,720.28
Hawke's Bay,2017,g/m3,River Quality,0.33,NA,24.25
Hawke's Bay,2018,cfu/100ml,Groundwater Quality,NA,301,NA
Hawke's Bay,2018,cfu/100ml,River Quality,NA,4749.3,NA
Hawke's Bay,2018,g/m3,Groundwater Quality,NA,NA,772.84
Hawke's Bay,2018,g/m3,River Quality,0.34,NA,19.46
Hawke's Bay,2019,cfu/100ml,Groundwater Quality,NA,256,NA
Hawke's Bay,2019,cfu/100ml,River Quality,NA,5359.8,NA
Hawke's Bay,2019,g/m3,Groundwater Quality,NA,NA,723.13
Hawke's Bay,2019,g/m3,River Quality,0.35,NA,19.54
Manawatu-Whanganui,2002,g/m3,River Quality,NA,NA,2.06
Manawatu-Whanganui,2003,g/m3,River Quality,NA,NA,2.23
Manawatu-Whanganui,2004,g/m3,River Quality,0.12,NA,2.3
Manawatu-Whanganui,2005,cfu/100ml,Groundwater Quality,NA,170,NA
Manawatu-Whanganui,2005,g/m3,Groundwater Quality,NA,NA,195.35
Manawatu-Whanganui,2005,g/m3,River Quality,0.11,NA,2.19
Manawatu-Whanganui,2006,g/m3,Groundwater Quality,NA,NA,188.08
Manawatu-Whanganui,2006,g/m3,River Quality,0.11,NA,2.19
Manawatu-Whanganui,2007,cfu/100ml,Groundwater Quality,NA,9,NA
Manawatu-Whanganui,2007,g/m3,Groundwater Quality,NA,NA,314.49
Manawatu-Whanganui,2007,g/m3,River Quality,0.11,NA,2.18
Manawatu-Whanganui,2008,cfu/100ml,Groundwater Quality,NA,72,NA
Manawatu-Whanganui,2008,g/m3,Groundwater Quality,NA,NA,244.62
Manawatu-Whanganui,2008,g/m3,River Quality,0.11,NA,2.17
Manawatu-Whanganui,2009,cfu/100ml,Groundwater Quality,NA,12,NA
Manawatu-Whanganui,2009,g/m3,Groundwater Quality,NA,NA,306.34
Manawatu-Whanganui,2009,g/m3,River Quality,0.3,NA,5.54
Manawatu-Whanganui,2010,cfu/100ml,Groundwater Quality,NA,28,NA
Manawatu-Whanganui,2010,cfu/100ml,River Quality,NA,1691,NA
Manawatu-Whanganui,2010,g/m3,Groundwater Quality,NA,NA,250.59
Manawatu-Whanganui,2010,g/m3,River Quality,0.35,NA,18.2
Manawatu-Whanganui,2011,cfu/100ml,Groundwater Quality,NA,21.1,NA
Manawatu-Whanganui,2011,cfu/100ml,River Quality,NA,1683.05,NA
Manawatu-Whanganui,2011,g/m3,Groundwater Quality,NA,NA,215.79
Manawatu-Whanganui,2011,g/m3,River Quality,0.33,NA,5.5
Manawatu-Whanganui,2012,cfu/100ml,Groundwater Quality,NA,27,NA
Manawatu-Whanganui,2012,cfu/100ml,River Quality,NA,1537,NA
Manawatu-Whanganui,2012,g/m3,Groundwater Quality,NA,NA,288.76
Manawatu-Whanganui,2012,g/m3,River Quality,0.36,NA,5.68
Manawatu-Whanganui,2013,cfu/100ml,Groundwater Quality,NA,96,NA
Manawatu-Whanganui,2013,cfu/100ml,River Quality,NA,2561.9,NA
Manawatu-Whanganui,2013,g/m3,Groundwater Quality,NA,NA,285.25
Manawatu-Whanganui,2013,g/m3,River Quality,0.37,NA,5.84
