region,variable,value,year,unit
Hawke's Bay Region,Total farm area,918270,2012,Hectares
Taranaki Region,Total farm area,442021,2012,Hectares
Manawatu-Whanganui Region,Total farm area,1429233,2012,Hectares
Wellington Region,Total farm area,480327,2012,Hectares
West Coast Region,Total farm area,196635,2012,Hectares
Canterbury Region,Total farm area,2801462,2012,Hectares
Otago Region,Total farm area,2320563,2012,Hectares
Southland Region,Total farm area,1201569,2012,Hectares
Tasman Region,Total farm area,238762,2012,Hectares
Nelson Region,Total farm area,16363,2012,Hectares
Marlborough Region,Total farm area,523750,2012,Hectares
New Zealand,Total farm area,14393802,2012,Hectares
Northland Region,Total farm area,754226,2016,Hectares
Auckland Region,Total farm area,280916,2016,Hectares
Waikato Region,Total farm area,1627293,2016,Hectares
Bay of Plenty Region,Total farm area,593234,2016,Hectares
Gisborne Region,Total farm area,574586,2016,Hectares
Hawke's Bay Region,Total farm area,920805,2016,Hectares
Taranaki Region,Total farm area,431661,2016,Hectares
Manawatu-Whanganui Region,Total farm area,1413349,2016,Hectares
Wellington Region,Total farm area,445321,2016,Hectares
West Coast Region,Total farm area,188852,2016,Hectares
Canterbury Region,Total farm area,2598424,2016,Hectares
Otago Region,Total farm area,2171748,2016,Hectares
Southland Region,Total farm area,1176256,2016,Hectares
Tasman Region,Total farm area,226577,2016,Hectares
Nelson Region,Total farm area,12773,2016,Hectares
Marlborough Region,Total farm area,525327,2016,Hectares
Chatham Islands,Total farm area,50551,2016,Hectares
New Zealand,Total farm area,13991897,2016,Hectares
Northland Region,Farm counts,5733,2002,Count
Auckland Region,Farm counts,5397,2002,Count
Waikato Region,Farm counts,11622,2002,Count
Bay of Plenty Region,Farm counts,5643,2002,Count
Gisborne Region,Farm counts,1332,2002,Count
Hawke's Bay Region,Farm counts,3873,2002,Count
Taranaki Region,Farm counts,3888,2002,Count
Manawatu-Whanganui Region,Farm counts,6396,2002,Count
Wellington Region,Farm counts,2466,2002,Count
West Coast Region,Farm counts,828,2002,Count
Canterbury Region,Farm counts,10185,2002,Count
Otago Region,Farm counts,4038,2002,Count
Southland Region,Farm counts,4323,2002,Count
Tasman Region,Farm counts,1896,2002,Count
Nelson Region,Farm counts,180,2002,Count
Marlborough Region,Farm counts,1671,2002,Count
New Zealand,Farm counts,69510,2002,Count
Northland Region,Farm counts,5025,2007,Count
Auckland Region,Farm counts,3963,2007,Count
Waikato Region,Farm counts,10350,2007,Count
Bay of Plenty Region,Farm counts,5223,2007,Count
Gisborne Region,Farm counts,1278,2007,Count
Hawke's Bay Region,Farm counts,3294,2007,Count
Taranaki Region,Farm counts,3342,2007,Count
Manawatu-Whanganui Region,Farm counts,5688,2007,Count
Wellington Region,Farm counts,2109,2007,Count
West Coast Region,Farm counts,780,2007,Count
Canterbury Region,Farm counts,9318,2007,Count
