"","Area","Year","key","Beef Cattle","Dairy Cattle","Deer","Sheep","Total apples (hectares)","Total avocados (hectares)","Total kiwifruit (hectares)","Total olives (hectares)","Total onions (hectares)","Total potatoes (hectares)","Total squash (hectares)","Total wine grapes (hectares)","Total_Hectares","Dairy area (ha)","Floriculture area (ha)","Forestry area (ha)","Fruit and berry area (ha)","Grain growing area (ha)","Nursery and turf area (ha)","Other area (ha)","Other Livestock area (ha)","Sheep and Beef area (ha)","Vegetable growing area (ha)"
"138","Bay of Plenty",2013,"Bay of Plenty 2013",92984,314679,38554,312593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Canterbury",2013,"Canterbury 2013",492844,1304618,287603,5222094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Chatham Islands",2013,"Chatham Islands 2013",10050,0,0,66956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Gisborne",2013,"Gisborne 2013",260456,19332,18833,1503378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Hawke's Bay",2013,"Hawke's Bay 2013",433768,95098,69350,2996560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Manawatu-Whanganui",2013,"Manawatu-Whanganui 2013",570144,448030,75840,5469819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Marlborough",2013,"Marlborough 2013",60172,27811,8072,518372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Nelson",2013,"Nelson 2013",1206,1259,0,6032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Northland",2013,"Northland 2013",396376,383057,4744,427281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Otago",2013,"Otago 2013",276545,367292,143235,5325322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Southland",2013,"Southland 2013",168031,615428,221388,4390785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Taranaki",2013,"Taranaki 2013",118526,595014,6029,537355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Tasman",2013,"Tasman 2013",42268,76283,14259,265858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Waikato",2013,"Waikato 2013",501614,1837858,78947,1926059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Wellington",2013,"Wellington 2013",131471,108647,17936,1572985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","West Coast",2013,"West Coast 2013",26242,178907,32726,32876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Northland",2012,"Northland 2012",380719,397764,5158,440955,17,1547,574,201,NA,22,NA,82,765155,208185,NA,179599,6755,7014,176,2977,6593,350225,3631
"155","Auckland",2012,"Auckland 2012",117458,117281,12647,205270,96,148,363,250,1621,1444,NA,300,228072,51350,NA,40245,4234,6982,283,1750,7566,108354,7308
"156","Waikato",2012,"Waikato 2012",505869,1832380,81019,1776544,141,176,726,55,1837,2074,NA,26,1593934,649172,NA,262637,3613,36243,88,2783,24291,607654,7453
"157","Bay of Plenty",2012,"Bay of Plenty 2012",93357,312326,42156,322882,5,2081,9912,42,NA,NA,NA,NA,555490,119248,NA,260398,25508,10456,166,1323,16295,121702,395
"158","Gisborne",2012,"Gisborne 2012",267599,17095,17323,1547294,110,60,326,NA,NA,NA,2406,1685,625921,NA,NA,164976,5849,3842,NA,138,3470,436694,5331
"159","Hawke's Bay",2012,"Hawke's Bay 2012",471010,93047,69977,3262468,5115,28,222,321,662,589,3248,4936,918270,23468,NA,127843,16127,9549,33,1006,15462,713565,11218
"160","Taranaki",2012,"Taranaki 2012",103546,604383,3756,434402,NA,62,0,NA,NA,23,NA,NA,442021,218965,NA,25409,178,7244,NA,365,2521,186893,NA
"161","Manawatu-Whanganui",2012,"Manawatu-Whanganui 2012",579565,475466,74033,5612743,34,22,NA,43,392,1260,241,8,1429233,195028,NA,116541,752,24267,95,1570,19806,1063633,7540
"162","Wellington",2012,"Wellington 2012",140420,108174,13933,1664892,NA,16,NA,216,NA,19,NA,895,480327,50648,NA,69307,2007,8754,NA,1166,5261,342005,NA
"163","West Coast",2012,"West Coast 2012",29002,173651,34176,58085,NA,0,0,0,0,0,0,0,196635,90938,NA,NA,151,4205,NA,NA,NA,58304,10
"164","Canterbury",2012,"Canterbury 2012",470746,1200293,291783,5348010,226,NA,NA,240,1035,5754,NA,1550,2801462,347164,NA,129815,8686,228887,NA,NA,104730,1946946,25562
"165","Otago",2012,"Otago 2012",290398,336278,153224,5342846,459,NA,0,22,4,153,NA,1577,2320563,137218,NA,120049,8537,26950,15,862,64141,1962180,612
"166","Southland",2012,"Southland 2012",172150,670581,238402,4356427,NA,0,0,0,NA,210,0,NA,1201569,261066,NA,73362,286,30440,NA,NA,54546,779284,1412
"167","Tasman",2012,"Tasman 2012",40149,71956,15540,276877,2496,7,497,129,55,13,14,821,238762,39881,NA,102352,10038,2133,11,922,4443,78268,714
"168","Nelson",2012,"Nelson 2012",NA,NA,NA,6466,NA,0,NA,0,NA,NA,NA,NA,16363,NA,NA,13618,214,NA,NA,NA,NA,1418,NA
"169","Marlborough",2012,"Marlborough 2012",60127,33218,NA,547180,18,NA,NA,134,NA,2,NA,22627,523750,15807,NA,77152,34734,3552,4,138,3067,388078,1217
"170","Chatham Islands",2012,"Chatham Islands 2012",NA,NA,0,59374,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56214,NA
"171","Auckland",2011,"Auckland 2011",120337,129768,10593,219952,144,148,435,244,1463,1049,NA,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Bay of Plenty",2011,"Bay of Plenty 2011",83793,331536,42471,284954,9,1925,10229,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Canterbury",2011,"Canterbury 2011",517760,1006742,305960,5569215,217,NA,NA,340,812,5197,NA,1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Chatham Islands",2011,"Chatham Islands 2011",NA,NA,NA,62861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Gisborne",2011,"Gisborne 2011",272017,17806,17196,1517015,105,65,321,2,36,NA,2300,1807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Hawke's Bay",2011,"Hawke's Bay 2011",488087,90655,63512,3266872,5135,28,205,273,805,419,3152,4810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Manawatu-Whanganui",2011,"Manawatu-Whanganui 2011",593632,472992,87969,5730947,20,NA,NA,44,281,1214,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Marlborough",2011,"Marlborough 2011",51103,30012,NA,425299,NA,NA,NA,150,NA,5,NA,21219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Nelson",2011,"Nelson 2011",NA,NA,NA,13743,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Northland",2011,"Northland 2011",402434,384636,3474,400480,29,1496,510,205,5,NA,5,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Otago",2011,"Otago 2011",268322,307817,161911,5203236,468,NA,NA,NA,NA,134,NA,1773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Southland",2011,"Southland 2011",173798,614648,243877,4112930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Taranaki",2011,"Taranaki 2011",118632,625315,5389,556982,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
