"","Area","Year","key","Beef Cattle","Dairy Cattle","Deer","Sheep","Total apples (hectares)","Total avocados (hectares)","Total kiwifruit (hectares)","Total olives (hectares)","Total onions (hectares)","Total potatoes (hectares)","Total squash (hectares)","Total wine grapes (hectares)","Total_Hectares","Dairy area (ha)","Floriculture area (ha)","Forestry area (ha)","Fruit and berry area (ha)","Grain growing area (ha)","Nursery and turf area (ha)","Other area (ha)","Other Livestock area (ha)","Sheep and Beef area (ha)","Vegetable growing area (ha)"
"252","Tasman",2007,"Tasman 2007",51428,63849,20632,348485,2438,9,614,148,26,39,NA,805,253307,38606,NA,102795,12274,NA,NA,417,10392,86479,542
"253","Nelson",2007,"Nelson 2007",1298,1862,NA,7639,NA,NA,NA,NA,NA,NA,NA,NA,17528,NA,NA,14056,NA,NA,NA,44,NA,1844,NA
"254","Marlborough",2007,"Marlborough 2007",65768,23899,NA,578805,25,NA,NA,240,NA,NA,NA,17169,507119,16461,NA,77202,33683,2350,NA,NA,5250,368985,3002
"255","Chatham Islands",2007,"Chatham Islands 2007",11905,NA,NA,68816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43489,NA
"256","Auckland",2006,"Auckland 2006",147748,122234,15271,293760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Bay of Plenty",2006,"Bay of Plenty 2006",117435,300509,60163,382419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Canterbury",2006,"Canterbury 2006",529952,655676,465055,7463075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Gisborne",2006,"Gisborne 2006",305050,NA,27507,1833833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Hawke's Bay",2006,"Hawke's Bay 2006",528809,79419,106761,4226620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Manawatu-Whanganui",2006,"Manawatu-Whanganui 2006",701871,390125,117242,6870265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Marlborough",2006,"Marlborough 2006",67830,25783,15868,648601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Northland",2006,"Northland 2006",490788,378152,8703,525830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Otago",2006,"Otago 2006",278269,180734,192790,5998440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Southland",2006,"Southland 2006",204632,375911,347537,5928761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Taranaki",2006,"Taranaki 2006",129368,598667,NA,688273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Tasman",2006,"Tasman 2006",45759,65994,25280,323542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Waikato",2006,"Waikato 2006",661261,1735353,126585,2706984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Wellington",2006,"Wellington 2006",176204,103290,22722,2012471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","West Coast",2006,"West Coast 2006",37097,148730,48043,78067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Auckland",2005,"Auckland 2005",167868,122015,NA,318201,123,NA,441,270,1388,897,NA,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Bay of Plenty",2005,"Bay of Plenty 2005",108344,329776,58785,356859,NA,1900,9100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Canterbury",2005,"Canterbury 2005",534176,604756,482605,7602271,210,NA,NA,514,759,4562,NA,1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Gisborne",2005,"Gisborne 2005",300670,NA,30381,1717266,256,NA,272,NA,NA,NA,2005,1718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Hawke's Bay",2005,"Hawke's Bay 2005",528513,82772,120027,4070230,6067,31,220,376,767,899,3635,4487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Manawatu-Whanganui",2005,"Manawatu-Whanganui 2005",696501,410765,147638,6738633,40,NA,NA,NA,222,1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Marlborough",2005,"Marlborough 2005",63620,30604,NA,638031,80,NA,NA,322,25,NA,NA,13442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Nelson",2005,"Nelson 2005",3665,NA,NA,17138,89,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Northland",2005,"Northland 2005",469262,343195,NA,556734,NA,1001,520,NA,NA,11,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Otago",2005,"Otago 2005",281842,161616,198704,6185038,622,NA,NA,38,NA,72,NA,1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Southland",2005,"Southland 2005",202326,348075,371374,5950627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Taranaki",2005,"Taranaki 2005",130935,615592,4772,678700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Tasman",2005,"Tasman 2005",45222,67535,31748,325874,2902,10,695,122,15,NA,NA,725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Waikato",2005,"Waikato 2005",676599,1726323,141515,2555163,343,NA,614,NA,1574,2267,NA,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Wellington",2005,"Wellington 2005",171035,95274,NA,2038979,179,NA,NA,284,NA,NA,NA,829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","West Coast",2005,"West Coast 2005",32275,142370,NA,74988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Auckland",2004,"Auckland 2004",166039,141618,23483,325188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Bay of Plenty",2004,"Bay of Plenty 2004",116729,320923,68044,409095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","Canterbury",2004,"Canterbury 2004",532238,599643,453336,7499728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Gisborne",2004,"Gisborne 2004",341676,NA,37878,1847723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Hawke's Bay",2004,"Hawke's Bay 2004",612870,91786,147378,4305819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","Manawatu-Whanganui",2004,"Manawatu-Whanganui 2004",641607,381464,139242,6263729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Marlborough",2004,"Marlborough 2004",67063,26831,20618,675284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Nelson",2004,"Nelson 2004",3605,NA,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Northland",2004,"Northland 2004",451849,399064,16746,494357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Otago",2004,"Otago 2004",259911,174253,206434,5901789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Southland",2004,"Southland 2004",216523,349021,390423,5966919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Taranaki",2004,"Taranaki 2004",122957,664922,6687,687435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","Tasman",2004,"Tasman 2004",46223,70848,31531,339028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Waikato",2004,"Waikato 2004",653108,1685661,144469,2457368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Wellington",2004,"Wellington 2004",174206,95021,25802,1943427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","West Coast",2004,"West Coast 2004",31274,141401,43777,81941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","Auckland",2003,"Auckland 2003",180066,167559,23241,361345,200,138,515,290,1471,758,328,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Bay of Plenty",2003,"Bay of Plenty 2003",125306,326885,72071,355785,NA,1802,8979,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","Canterbury",2003,"Canterbury 2003",553846,556339,439501,7969929,265,NA,21,832,1109,4792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Gisborne",2003,"Gisborne 2003",349913,6969,NA,1869777,260,61,268,18,NA,4,2447,1595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Hawke's Bay",2003,"Hawke's Bay 2003",574403,92852,139685,3922729,6396,29,267,263,537,585,2924,4272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","Manawatu-Whanganui",2003,"Manawatu-Whanganui 2003",699264,408986,136232,6516684,NA,NA,138,NA,532,1994,621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","Marlborough",2003,"Marlborough 2003",69955,28233,NA,741038,229,NA,NA,391,16,NA,NA,9072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Northland",2003,"Northland 2003",478201,374019,18922,530059,47,1013,601,NA,NA,NA,102,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Otago",2003,"Otago 2003",272551,181484,195306,5945247,719,NA,10,32,NA,187,NA,1247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Southland",2003,"Southland 2003",220042,347793,356948,5855296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Taranaki",2003,"Taranaki 2003",121184,623459,9058,664627,NA,49,39,10,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","Tasman",2003,"Tasman 2003",56155,71206,33573,402925,3270,9,633,150,23,49,NA,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Waikato",2003,"Waikato 2003",696233,1679882,139824,2409128,276,111,787,NA,1927,2164,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Wellington",2003,"Wellington 2003",176290,111973,25821,1779872,249,NA,13,313,NA,NA,NA,915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","West Coast",2003,"West Coast 2003",36968,122572,35487,83978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Northland",2002,"Northland 2002",468432,405387,23412,522189,71,939,605,146,NA,NA,104,53,809897,204072,919,204107,6838,2158,546,61,13989,372144,5063
"319","Auckland",2002,"Auckland 2002",172348,150089,20259,368217,209,175,581,276,1621,852,NA,718,301801,61995,825,63050,6747,1488,1234,1382,13658,144626,6796
"320","Waikato",2002,"Waikato 2002",666884,1663446,143098,2592399,335,167,818,107,2103,2117,NA,218,1730266,521714,551,394394,5833,11584,716,2141,43550,740752,9031
"321","Bay of Plenty",2002,"Bay of Plenty 2002",134815,331410,73027,415379,137,1608,8488,96,50,139,NA,10,599973,119644,379,299405,22301,5109,962,64,17157,133820,1132
"322","Gisborne",2002,"Gisborne 2002",309823,12533,25752,1679377,280,57,295,12,22,NA,2427,1743,643228,3586,NA,155295,6158,3469,128,NA,7697,461335,5457
"323","Hawke's Bay",2002,"Hawke's Bay 2002",555989,88982,126718,3788684,5919,30,189,251,363,641,2795,3835,961804,26966,NA,146236,17800,3634,276,NA,25169,733754,7391
"324","Taranaki",2002,"Taranaki 2002",127218,651700,10762,697637,9,52,47,12,NA,46,NA,NA,496540,216646,106,27379,528,767,425,822,6445,242497,925
"325","Manawatu-Whanganui",2002,"Manawatu-Whanganui 2002",726306,416802,147128,6563838,44,NA,146,52,335,2267,685,NA,1545218,154477,530,162076,1150,8159,998,357,39945,1158057,19468
"326","Wellington",2002,"Wellington 2002",181320,111180,27423,1812531,329,NA,38,272,NA,57,39,801,503838,42263,50,79902,2575,3554,935,75,8984,364914,586
"327","West Coast",2002,"West Coast 2002",38908,124640,33262,92508,NA,NA,NA,NA,NA,NA,NA,NA,225454,69957,NA,NA,NA,NA,NA,NA,15523,78150,160
"328","Canterbury",2002,"Canterbury 2002",505461,542610,411581,7758336,343,NA,NA,659,992,4495,22,749,3150891,164570,972,115556,7418,137723,1602,2119,134148,2551503,35280
"329","Otago",2002,"Otago 2002",267091,204802,196703,6120918,802,NA,15,69,NA,185,NA,1051,2378770,87617,309,144752,6761,19825,551,205,72432,2044709,1609
"330","Southland",2002,"Southland 2002",203670,356220,351558,5950657,NA,NA,NA,13,NA,170,NA,NA,1198388,117253,90,77895,136,23365,641,267,72122,905142,1477
"331","Tasman",2002,"Tasman 2002",49032,67473,32185,356240,2979,15,579,168,37,44,4,532,277019,36512,NA,114729,9905,1956,319,NA,14895,97514,548
"332","Nelson",2002,"Nelson 2002",2642,NA,2228,11089,NA,NA,NA,NA,NA,NA,NA,33,21331,752,10,15079,284,NA,NA,NA,467,4626,NA
"333","Marlborough",2002,"Marlborough 2002",72479,32526,22842,785115,211,NA,NA,449,15,NA,NA,7521,696049,15362,70,77005,12364,NA,137,NA,8422,575298,3529
"334","Chatham Islands",2002,"Chatham Islands 2002",8863,NA,NA,56723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48840,NA
"335","Auckland",1994,"Auckland 1994",213739,168754,33916,498152,600,68,646,NA,1723,1046,781,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","Bay of Plenty",1994,"Bay of Plenty 1994",164806,285752,81873,620337,132,774,8101,NA,11,71,525,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","Canterbury",1994,"Canterbury 1994",452832,212492,258980,9747488,1856,11,NA,NA,671,2517,208,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","Chatham Islands",1994,"Chatham Islands 1994",6472,68,173,103557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Gisborne",1994,"Gisborne 1994",351384,6226,22955,2088870,249,47,325,NA,44,35,1593,1245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","Hawke's Bay",1994,"Hawke's Bay 1994",522767,31707,118301,4264012,6179,71,303,NA,131,324,2047,1756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","Manawatu-Whanganui",1994,"Manawatu-Whanganui 1994",824881,308022,128676,7458218,136,NA,317,NA,95,2628,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","Marlborough",1994,"Marlborough 1994",74456,22648,18764,955338,NA,NA,NA,NA,37,275,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Nelson",1994,"Nelson 1994",1891,1412,343,15099,NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","Northland",1994,"Northland 1994",574072,356561,18141,814163,118,331,715,NA,38,102,952,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","Otago",1994,"Otago 1994",270422,82173,91414,7635968,NA,NA,NA,NA,6,260,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Southland",1994,"Southland 1994",202538,114378,184512,7850791,NA,NA,NA,NA,288,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","Taranaki",1994,"Taranaki 1994",172784,599083,19024,966752,21,24,60,NA,2,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","Tasman",1994,"Tasman 1994",64453,49092,35810,424875,NA,NA,NA,NA,52,84,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","Waikato",1994,"Waikato 1994",869939,1437630,161997,3606345,679,36,783,NA,1817,1827,926,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","Wellington",1994,"Wellington 1994",212679,83935,30232,2199545,299,NA,83,NA,14,94,11,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","West Coast",1994,"West Coast 1994",67733,79251,25998,216544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
